oldtrade,buy,1
walk,3484,2094,-106
walk,3467,2108,-105
walk,3436,2106,-105
walk,3439,2091,-103
walk,3443,2058,-103
walk,3443,2041,-101
walk,3444,2024,-102
walk,3444,2011,-101
walk,3444,2000,-100
walk,3444,1989,-98
walk,3444,1977,-89
walk,3442,1967,-86
walk,3440,1955,-87
walk,3436,1947,-85
walk,3427,1935,-84
walk,3417,1923,-71
walk,3409,1913,-54
walk,3401,1907,-32
walk,3389,1899,-33
walk,3377,1898,-15
walk,3364,1895,-14
walk,3352,1891,-16
walk,3343,1890,-10
walk,3333,1888,-4
walk,3321,1887,-1
walk,3312,1886,0
walk,3298,1884,-8
walk,3288,1882,-4
walk,3274,1881,-5
walk,3263,1879,-3
walk,3253,1878,-2
walk,3238,1876,0
walk,3224,1870,0
walk,3211,1865,0
walk,3199,1861,0
walk,3183,1855,0
walk,3172,1851,0
walk,3160,1846,0
walk,3146,1842,0
walk,3131,1838,0
walk,3118,1834,0
walk,3108,1831,-2
walk,3096,1827,-12
walk,3084,1823,-11
walk,3076,1823,-18
walk,3063,1821,-29
walk,3048,1817,-30
walk,3037,1811,-34
walk,3022,1802,-54
walk,3010,1793,-58
walk,2999,1785,-36
walk,2991,1779,-20
walk,2981,1771,-27
walk,2973,1766,-19
walk,2963,1756,-30
walk,2952,1741,-42
walk,2940,1726,-23
walk,2933,1717,0
walk,2927,1707,13
walk,2919,1695,-1
walk,2915,1688,-3
walk,2904,1671,-66
walk,2900,1662,-67
walk,2892,1649,-71
walk,2886,1639,-73
walk,2878,1625,-107
walk,2872,1612,-85
walk,2869,1603,-67
walk,2865,1589,-45
walk,2861,1576,-31
walk,2854,1561,8
walk,2848,1545,27
walk,2842,1526,27
walk,2836,1508,27
walk,2830,1491,27
walk,2825,1479,27
walk,2821,1466,28
walk,2817,1455,29
walk,2811,1443,28
walk,2807,1431,26
walk,2803,1424,26
walk,2797,1412,26
walk,2791,1399,25
walk,2787,1389,23
walk,2783,1378,31
walk,2779,1371,48
walk,2776,1364,63
walk,2773,1359,61
walk,2766,1346,32
